Nominee,Emotion Type,Tweet
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,positive,taylor swift fangirls over uzo aduba's emmy win: taylor swift is super excited for her friend.
uzo aduba,negative,"i'm disappointed nph couldn't recall @uzoaduba's emmy win, but totally shocked he couldn't name all five spice girls. #besttimeever"
game of thrones,positive,wow just so happy for everyone ~ much deserved ~ game of thrones breaks emmy record via @ew
game of thrones,positive,"unlike the pissed off mad men fans, i'm happy that game of thrones won!"
game of thrones,positive,why we're happy game of thrones won big at the ...
game of thrones,positive,im proud and happy. game of thrones bagged 12 awards out of 48 at emmys 2015. the most # of awards for a series ever. they broke a record!
game of thrones,positive,why were happy game of thrones won big at the emmys ign conversation
game of thrones,positive,wow just so happy for everyone ~ much deserved ~ game of thrones breaks emmy record via @ew
game of thrones,positive,check out @theericgoldman and i talking about why we're so happy #gameofthrones won big at the #emmys: @ign
game of thrones,positive,why we're happy game of thrones won big at the #emmys
game of thrones,positive,why we're happy game of thrones won big at the emmys - ign video
game of thrones,positive,ign : why we're happy game of thrones won big at the #emmys
game of thrones,positive,why we're happy game of thrones won big at the #emmys
game of thrones,positive,# why we're happy game of thrones won big at the emmys: eric goldman and terri schwartz disc... #games #ps4 #xbox
game of thrones,positive,ign: why we're happy game of thrones won big at the #emmys
game of thrones,positive,why we're happy game of thrones won big at the #emmys
game of thrones,positive,.@terri_schwartz and i discuss the #emmys and why were happy #gameofthrones finally won
game of thrones,positive,#games #videos why we're happy game of thrones won big at the emmys
game of thrones,positive,why we're happy game of thrones won big at the emmys
game of thrones,positive,why we're happy game of thrones won big at the emmys: eric goldman and terri schwartz dis... #gaming #games #news
game of thrones,positive,good morning style fam! happy monday! game of thrones reigns supreme at the emmys. the pope wraps up his cuba...
game of thrones,positive,"#gameofthrones sets record for most emmys won in a year. and: happy birthday, george r.r. martin! not a bad present!"
game of thrones,positive,and game of thrones brings home the bacon! congratulations to all the winners and nominees! #emmys2015
game of thrones,positive,"congratulations ""game of thrones!"""
game of thrones,positive,congratulations game of thrones!
game of thrones,positive,congratulations to game of thrones' david benioff and d.b. weiss on the #emmy for writing for a drama series via @thr
game of thrones,positive,game of thrones' emmy win completes dominant night for hbo via @business congratulations to my client #micheleclapton
game of thrones,positive,big night for @gameofthrones at the @emmys big win! #emmy #gameofthrones #congratulations
game of thrones,positive,big night for @gameofthrones at the @emmys big win! #emmy #gameofthrones #congratulations
game of thrones,positive,"congratulations to the winners of the #emmys2015 especially to my favorite winners, #gameofthrones prod team!"
game of thrones,positive,congratulations game of trones to emmy 2015. #gameofthrones #emmys2015 #love #got
game of thrones,positive,"congratulations...to the cast and crew of ""game of thrones""...on an incredible 15 emmy wins...including best..."
game of thrones,positive,"congratulations...to the cast and crew of ""game of thrones""...on an incredible 15 emmy wins...including best..."
game of thrones,positive,"congratulations to ""the game of thrones"" for winning the 2015 #emmy for the most outstanding drama. i am a big fan."
game of thrones,positive,[s5] 2015 game of thrones emmy awards compilation thread: congratulations to everyone involved in the creation...
game of thrones,positive,congratulations to game of thrones! favorite show on earth! best drama series
game of thrones,positive,[s5] 2015 game of thrones emmy awards compilation thread: congratulations to everyone involved in the creation and production of game of th
game of thrones,positive,"anyone else disappointed that game of thrones won the emmy for writing? i feel like it's ""grrm's beloved story, now with more rape!"""
game of thrones,positive,congrats to @benioff and @b_cogman on their emmys. #gameofthrones #valardohareis
game of thrones,positive,@willsimpson20 your are a credit to this we country. congrats to all the team on the #emmys win for #gameofthrones
game of thrones,positive,"""i start this off with a disclaimer: i love got"" why game of thrones didnt deserve the emmy via @nzherald"
game of thrones,positive,ethan sills: why &lt;b&gt;game of thrones&lt;/b&gt; didn't deserve the emmy: i start this off with a disclaimer: i love game of
game of thrones,positive,super excited that #gameofthrones @gameofthrones has won 12 emmys tonight!
game of thrones,positive,so obsessed with #gameofthrones and i'm so excited they won best drama series it's just such an amazing show. #emmys
game of thrones,negative,area woman disappointed but not surprised in the slightest that game of thrones won another emmy
game of thrones,negative,disappointed that the final run of #madmen lost the #emmy to #got. but thrilled to see #tracymorgan back on his feet &amp; cracking everyone up
game of thrones,negative,"ok who the fuck gave game of thrones a writing emmy. i'm not mad, just disappointed."
game of thrones,negative,ethan sills: why game of thrones didn't deserve the emmy
game of thrones,negative,why game of thrones didn't deserve the emmy #gameofthrones
game of thrones,negative,ethan sills: why game of thrones didn't deserve the emmy #gameofthrones
game of thrones,negative,ethan sills: why game of thrones didn't deserve the emmy #gameofthrones
game of thrones,negative,ethan sills: why game of thrones didn't deserve the emmy: i start this off with a disclaimer: i... #gameofthrones
game of thrones,negative,ethan sills: why game of thrones didn't deserve the emmy
game of thrones,negative,here's the newest episode of my podcast for your ears. and #gameofthrones still didn't deserve those emmys.
lena headey,positive,i loved everything about the emmys 2015 but lena should have won!
lena headey,positive,"@iamlenaheadey @aliryaaa and i are so disappointed bc you don't win an emmy, really you deserved to win !"
lena headey,positive,"so disappointed lena headey didnt win an emmy, she so deserved it, she was the best part of game of thrones this season"
lena headey,positive,disappointed @iamlenaheadey didn't win #emmy but congrats to uzo aduba
lena headey,negative,greetings @iamlenaheadey. you are #10 on who got robbed the most at the 2015 emmy awards?.
jonathan banks,negative,i'm disappointed that jonathan banks didn't win the emmy. @bettercallsaul
jonathan banks,negative,so disappointed that @jonathan banks did not win best supporting actor #emmy #bettercallsaul
bill murray,positive,"happy birthday bill murray, here's an emmy"
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best ..."
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best ... -"
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best ... -"
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his off"
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his off-screen antics!: bill"
bill murray,positive,"@gallerias happy birthday, bill murray! celebrate the comedy legend with the 10 best stories"
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of hi..."
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his off-scr... #tfb #f4f #ff"
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his of... #celebrity #gossip"
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his off-screen antics!: b..."
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his ... #tbdfest is #tooloud"
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best ..."
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his off-screen antics!"
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his off-screen antics!"
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his off-screen antics!"
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his off-screen antics!"
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his off-screen antics! va pe"
bill murray,positive,"#itweetfeeds happy birthday, bill murray! celebrate the comedy legend with the 10 best storie... #ff @itweetfeeds"
bill murray,positive,"#gossip: happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his off-screen antic..."
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10..."
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his off-screen antics!"
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his off-screen antics!"
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his off-screen antic..."
bill murray,positive,"happy birthday, bill murray! celebrate the comedy legend with the 10 best stories of his off-screen antics!:"
bill murray,positive,"happy birthday. today, sept 21, 1950 bill murray, american actor, producer, and screenwriter was born...."
olive kitteridge,positive,"emmy 2015: congratulations hbo's olive kitteridge sweeping awards: acting, writing, directing, overall achievement!"
olive kitteridge,positive,congratulations to #olivekitteridge director lisa cholodenko (soa'97) on her emmy win! #soafilm
olive kitteridge,positive,congratulations to #billmurray on his #emmy win for #olivekitteridge! #emmys
olive kitteridge,positive,#olivekitteridge won 8 of the 13 #emmys they were nominated for! congratulations team!
olive kitteridge,positive,so happy frances mcdormand won an emmy for #olivekitteridge. wonderful actress in a wonderful series. @zoeinthecities should have won too.
olive kitteridge,negative,queen latifah looked disappointed but #francesmcdormand has been doing this a long time and doing it well #fargo #olivekitteridge #emmy
modern family,positive,am i more excited that veep won than that modern family didn't? i'm not sure. probably more happy about veep than the other thing. #emmys
modern family,positive,"oh my goodness, #annachlumsky gets sooooo excited every time @veephbo wins. it just won best comedy, ending @modernfam's reign. #emmys"
modern family,negative,"disappointed that amy poehler didn't win any emmy's for parks &amp; rec, but glad that modern family didn't win any more"
modern family,negative,pretty disappointed that modern family didn't win an emmy last night
julia louis-dreyfus,positive,"congratulations, julia louis-dreyfus! see more looks from the red carpet:"
julia louis-dreyfus,positive,i love julia louis-dreyfus but i really wish amy poehler won that emmy :(
julia louis-dreyfus,positive,@veephbo @timothycsimons @reidscott__ @mrtonyhale @officialjld belated #emmy congrats. anxiously waiting for #veep 5
julia louis-dreyfus,positive,@officialjld a belated giant huge congrats on your emmys wins. duh!!! xo
julia louis-dreyfus,positive,&lt;new blog post&gt; deets on 5 of the big winners at the #emmys2015 congrats @officialjld @jeffreytambor @violadavis!
julia louis-dreyfus,positive,"congratulations to the entire team at @veephbo for their #emmy win! you deserve it, @officialjld !"
jon hamm,positive,just because this makes me tremendously happy: watch jon hamm finally win his emmy for mad men
jon hamm,positive,did jon hamm's emmy win for @madmen_amc make you as happy is it did us? all the feels #madmen
jon hamm,positive,"some highlights from the emmy's last night. did you watch? happy for jon hamm, i thought his acceptance speech..."
jon hamm,positive,john slattery &amp; jon hamm via @eonline so happy!!
jon hamm,positive,"some highlights from the emmy's last night. did you watch? happy for jon hamm, i thought his acceptance speech..."
jon hamm,positive,"this makes me so, so happy. #emmys: jon hamm is finally the outstanding lead actor in a drama series"
jon hamm,positive,"congratulations, america. it's been a week. a whole week of jon hamm as #emmy champion 2015. #365daysofhamm"
jon hamm,positive,"congratulations, #emmy winners #2015: #jonhamm #jeffreytambor #peterdinklage #tonyhale"
jon hamm,positive,congratulations on the emmy win jon hamm. even when you clap you are handsome
jon hamm,positive,huge congratulations are in order for mad men's jon hamm! #emmys
jon hamm,positive,"happy mm,ladies! i'm really excited by the #emmys - viola &amp; my tv husband, jon hamm won emmys!! screaming like a kid!"
jon hamm,positive,didn't watch the emmys because of the #subwayseries but am excited to read #jonhamm finally won as #dondraper.
jon hamm,positive,"watching the emmys now and got excited when jon hamm won , like i didnt already know that happened"
jon hamm,positive,after losing 14 times jon hamm finally won an emmy... and he was really excited about it #emmys
jon hamm,positive,after losing 14 times jon hamm finally won an emmy... and he was really excited about it #emmys
jon hamm,negative,god wanted more people to see pete carroll and russell wilson disappointed than to see jon hamm finally win an emmy.
jon hamm,negative,"disappointed to find out that jon hamm's emmy win wasn't for ""wet hot american summer."""
jon hamm,negative,"still disappointed that this emmy is for mad men and not for is work in the snl sketch ""jon hamm's john ham"""
tatiana maslany,positive,"#emmys predictions from @biancorobert; personally, i'll take @tatianamaslany &amp; @amyschumer wins and be happy"
tatiana maslany,positive,tatiana lost but im really happy for viola. she def deserved an award in #thehelp at the academy awards in 2011 but now 2015. you go #emmys
tatiana maslany,positive,"#emmys predictions from @biancorobert; personally, i'll take @tatianamaslany &amp; @amyschumer wins and be happy"
tatiana maslany,positive,"i'm happy for viola davis, but #tatianamaslany definitely should have won the emmy."
tatiana maslany,positive,@tatianamaslany you should have won that emmy!! deserved it 100% #emmys2015 #gutted
tatiana maslany,positive,i'm disappointed that tatiana didn't win the emmy but i'm so happy for viola because her win is equally important and she deserved it too.
tatiana maslany,positive,so disappointed for tatiana. she deserved that emmy so much! #orphanblack
tatiana maslany,positive,i'm disappointed that tatiana didn't win the emmy but i'm so happy for viola because her win is equally important and she deserved it too.
tatiana maslany,positive,"i'm so disappointed tatiana didn't win her emmy, she deserved it so much :(("
tatiana maslany,positive,"just saw the #emmy winners. disappointed for lisa kudrow, amy poehler &amp; tatiana maslany. super happy for all the veep wins. its so funny"
tatiana maslany,positive,i have this strange feeling when i am so happy viola davis got the emmy but so disappointed for tatiana maslany who truly deserved it too.
tatiana maslany,positive,i'm so disappointed tatiana reaaally deserved that emmy
tatiana maslany,positive,i'm so disappointed for tatiana. viola is a great actress but seriously tatiana deserved this emmy
tatiana maslany,positive,@st_lifetweets @stcom disappointed cuz tatiana maslany deserved an emmy more than anyone else
tatiana maslany,positive,disappointed with the emmy outcome. @tatianamaslany deserved to win.
tatiana maslany,positive,"to all those disappointed that @tatianamaslany didn't win an #emmy, i understand. i love #orphanblack. but @violadavis deserved it."
tatiana maslany,positive,@tatianamaslany happy birthday you precious human being! you deserve all the emmys in the world and more! have a great one
tatiana maslany,negative,@carlaandthecity: #emmy 2015 disappointed that @tatianamaslany did not win for best lead actress! she's amazing and has such range.
tatiana maslany,negative,@thogar @stormenchantra @tatianamaslany should have won the emmy. she was robbed.
tatiana maslany,negative,tatiana maslany so so so should have won that emmy. she was robbed! #orphanblack
tatiana maslany,negative,@tatianamaslany @micaelaerlanger @creightonbowman tatiana you were robbed last night you should have won an emmy!!!!!!
tatiana maslany,negative,i'm disappointed that tatiana maslany didn't get the emmy for #orphanblack
tatiana maslany,negative,"disappointed @tatianamaslany didn't win emmy, but i don't watch how to get awat with murder and davis' winner speech was so great!"
tatiana maslany,negative,so disappointed that tatiana didn't win the emmy
tatiana maslany,negative,disappointed that tatiana maslany didnt get the emmy .
tatiana maslany,negative,"@tatianamaslany is the best actres, i feel disappointed when i heard that the emmy was not for her."
tatiana maslany,negative,@carlaandthecity: #emmy 2015 disappointed that @tatianamaslany did not win for best lead actress! she's amazing and has such range.
tatiana maslany,negative,@tatianamaslany didn't win the #emmy &amp; i'm so disappointed. i think she was robbed. probably not the only one #cloneclub
tatiana maslany,negative,i'm #disappointed that @tatianamaslany didn't win an #emmy tonight. she deserves like 10 of them. #orphanblack
tatiana maslany,negative,a little disappointed that @tatianamaslany didn't win an emmy but at least she got nominated and had a hilarious segment on the show!
tatiana maslany,negative,"disappointed that tatiana maslany didn't win the emmy, but viola davis is absolutely a worthy winner!"
tatiana maslany,negative,i'm disappointed that tatiana maslany didn't win an emmy
tatiana maslany,negative,if @tatianamaslany doesn't win the emmy tonight i will be extremely disappointed @orphanblack
tatiana maslany,negative,"if @tatianamaslany doesn't get an emmy, i'm going to be really disappointed!!! #orphanblack #emmyformaslany #emmys2015"
tatiana maslany,negative,i'm going to be very disappointed if tatiana maslany doesn't win an emmy.
sarahpaulson,negative,"not that the person that won didn't deserve it, but @mssarahpaulson should have gotten the emmy last night, ijs."
sarahpaulson,negative,really disappointed @mssarahpaulson didn't win the emmy. she deserves it 120%
sarahpaulson,negative,i'm not okay with @mssarahpaulson not winning at least one emmy. her character on ahs was the most complicated of all. disappointed #emmys
sarahpaulson,negative,kinda disappointed that @mssarahpaulson didn't win a emmy for #americanhorrorstory #emmys
tony hale,positive,congratulations to tony hale on another emmy win tonight!...
